,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
126,121,Damian Lillard,PG,34,MIL,3,3,25.0,2.0,9.0,.222,1.0,5.3,.188,1.0,3.7,.273,.278,2.0,2.3,.857,0.3,2.3,2.7,4.7,0.7,0.7,1.0,2.7,7.0
127,122,Chris Livingston,SF,21,MIL,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
128,123,Kevon Looney,C,28,GSW,12,0,10.0,0.8,1.9,.435,0.0,0.0,,0.8,1.9,.435,.435,0.5,0.7,.750,1.4,2.2,3.6,0.3,0.4,0.3,0.2,2.3,2.2
129,124,Brook Lopez,C,36,MIL,5,4,14.8,1.6,4.4,.364,0.8,3.0,.267,0.8,1.4,.571,.455,1.0,1.0,1.000,0.6,1.0,1.6,0.8,0.2,1.0,0.8,2.2,5.0
130,125,Bennedict Mathurin,SF,22,IND,22,0,17.5,3.1,6.7,.459,0.8,2.7,.300,2.3,4.0,.568,.520,4.0,4.7,.864,1.2,2.1,3.3,0.9,0.4,0.3,1.2,1.9,11.0
131,126,Miles McBride,SG,24,NYK,18,0,18.9,1.9,5.0,.378,1.2,3.3,.373,0.7,1.7,.387,.500,0.8,0.9,.824,0.2,1.0,1.2,1.0,0.4,0.1,0.6,1.2,5.8
132,127,T.J. McConnell,PG,32,IND,23,0,17.5,4.1,7.6,.537,0.3,0.8,.421,3.7,6.8,.551,.560,1.0,1.2,.815,0.5,2.7,3.3,4.0,0.9,0.1,1.9,1.1,9.5
133,128,Jaden McDaniels,PF,24,MIN,15,15,33.1,5.8,11.3,.515,1.4,3.7,.382,4.4,7.6,.579,.577,1.7,1.9,.893,1.8,3.8,5.6,1.5,1.3,0.9,1.2,3.3,14.7
134,129,Sam Merrill,SG,28,CLE,8,3,19.9,1.9,5.0,.375,1.8,4.9,.359,0.1,0.1,1.000,.550,0.3,0.4,.667,0.9,1.6,2.5,1.8,0.5,0.3,0.3,2.3,5.8
135,130,Jordan Miller,SF,25,LAC,3,0,4.3,1.0,2.3,.429,0.0,0.3,.000,1.0,2.0,.500,.429,0.3,0.7,.500,0.0,0.7,0.7,1.3,1.0,0.0,0.0,0.0,2.3
136,131,Leonard Miller,SF,21,MIN,3,0,4.3,2.0,2.7,.750,0.3,0.3,1.000,1.7,2.3,.714,.813,0.0,0.0,,1.0,0.7,1.7,0.0,0.0,0.0,0.3,0.0,4.3
137,132,Patty Mills,PG,36,LAC,1,0,4.0,1.0,2.0,.500,1.0,1.0,1.000,0.0,1.0,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
138,133,Shake Milton,SG,28,LAL,2,0,2.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
139,134,Josh Minott,SF,22,MIN,5,0,4.6,0.4,1.6,.250,0.2,1.2,.167,0.2,0.4,.500,.313,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.2,1.0
140,135,Ajay Mitchell,SG,22,OKC,12,0,7.0,1.3,2.9,.457,0.4,1.1,.385,0.9,1.8,.500,.529,0.3,0.4,.800,0.3,0.5,0.8,0.8,0.2,0.0,0.5,0.6,3.4
141,136,Davion Mitchell,PG,26,MIA,4,3,35.5,6.3,10.3,.610,1.8,3.5,.500,4.5,6.8,.667,.695,0.8,1.8,.429,0.5,1.8,2.3,6.3,0.8,0.3,2.0,2.8,15.0
142,137,Donovan Mitchell,SG,28,CLE,9,9,32.0,9.6,21.6,.443,3.1,9.3,.333,6.4,12.2,.527,.515,7.3,9.9,.742,1.2,3.4,4.7,3.9,1.9,0.3,1.9,2.0,29.6
143,138,Evan Mobley,PF,23,CLE,8,8,32.1,6.4,10.9,.586,1.8,3.9,.452,4.6,7.0,.661,.667,2.6,3.1,.840,2.6,5.5,8.1,1.6,1.1,1.0,1.4,1.3,17.1
144,139,Moses Moody,SG,22,GSW,12,2,16.1,2.3,6.7,.350,1.3,3.8,.333,1.1,2.9,.371,.444,1.2,1.4,.824,0.8,1.4,2.2,1.2,0.5,0.3,0.3,1.3,7.1
145,140,Ja Morant,PG,25,MEM,3,3,27.3,7.3,17.7,.415,1.3,5.3,.250,6.0,12.3,.486,.453,2.3,3.7,.636,0.3,1.7,2.0,5.0,0.7,0.7,2.0,1.0,18.3
146,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
147,141,Jamal Murray,PG,27,DEN,14,14,41.3,7.9,17.9,.444,2.4,6.9,.354,5.5,11.0,.500,.512,3.5,4.0,.875,0.6,4.2,4.9,5.2,1.2,0.8,3.1,2.2,21.8
148,142,Andrew Nembhard,SG,25,IND,23,23,33.4,4.6,9.7,.471,1.7,3.7,.465,2.8,6.0,.474,.561,1.6,2.0,.804,0.6,2.6,3.2,4.7,1.5,0.2,1.8,2.7,12.5
149,143,Aaron Nesmith,SF,25,IND,23,23,28.3,4.3,9.2,.472,2.6,5.3,.492,1.7,3.9,.444,.613,1.3,1.6,.861,1.2,4.5,5.7,1.1,0.9,0.8,1.0,4.1,12.7
150,144,Zeke Nnaji,PF,24,DEN,6,0,5.7,0.2,1.3,.125,0.2,1.0,.167,0.0,0.3,.000,.188,0.7,1.2,.571,0.5,0.7,1.2,0.3,0.2,0.3,0.3,1.0,1.2
151,145,Chuma Okeke,PF,26,CLE,3,0,4.3,0.3,1.3,.250,0.3,1.3,.250,0.0,0.0,,.375,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0
152,146,Isaac Okoro,SG,24,CLE,9,0,14.2,1.7,3.3,.500,0.7,1.8,.375,1.0,1.6,.643,.600,0.6,0.9,.625,0.4,0.8,1.2,0.6,0.7,0.1,0.4,1.4,4.6
153,147,Cameron Payne,PG,30,NYK,14,0,7.3,0.9,2.6,.324,0.4,1.5,.238,0.5,1.1,.438,.392,0.1,0.2,.333,0.0,0.6,0.6,0.6,0.4,0.1,0.5,1.6,2.1
154,148,Gary Payton II,SG,32,GSW,11,1,16.4,1.9,4.3,.447,0.8,2.1,.391,1.1,2.2,.500,.543,0.0,0.0,,0.9,1.3,2.2,1.5,0.9,0.0,0.5,1.9,4.6
155,149,Jalen Pickett,SG,25,DEN,8,0,7.1,0.6,1.9,.333,0.4,1.1,.333,0.3,0.8,.333,.433,0.0,0.0,,0.0,0.9,0.9,0.6,0.0,0.1,0.8,0.4,1.6
156,150,Scotty Pippen Jr.,PG,24,MEM,4,4,32.3,5.5,14.5,.379,2.5,7.0,.357,3.0,7.5,.400,.466,4.8,4.8,1.000,1.0,4.5,5.5,3.5,1.0,0.3,3.5,4.8,18.3
157,151,Brandin Podziemski,SG,21,GSW,12,11,32.1,4.0,11.0,.364,1.8,5.6,.328,2.2,5.4,.400,.447,1.4,2.0,.708,1.3,3.7,5.0,3.1,1.3,0.2,1.5,1.5,11.3
158,152,Craig Porter Jr.,PG,24,CLE,6,0,5.8,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.5,0.5,1.0,1.5,0.5,0.3,0.3,0.3,2.0
159,153,Kevin Porter Jr.,SG,24,MIL,5,1,30.2,3.8,9.6,.396,1.4,3.0,.467,2.4,6.6,.364,.469,2.2,2.6,.846,0.6,3.0,3.6,5.4,0.8,0.0,1.8,2.4,11.2
160,154,Michael Porter Jr.,SF,26,DEN,14,14,31.1,3.4,8.6,.392,1.7,5.0,.343,1.6,3.6,.460,.492,0.7,1.0,.714,1.0,4.5,5.5,0.6,0.6,0.4,0.9,1.9,9.1
161,155,Bobby Portis,PF,29,MIL,5,1,31.6,6.0,13.6,.441,2.0,5.6,.357,4.0,8.0,.500,.515,0.0,0.2,.000,1.6,6.6,8.2,1.4,0.4,0.4,1.2,1.6,14.0
162,156,Kristaps Porziņģis,C,29,BOS,11,7,21.0,2.3,7.2,.316,0.4,2.4,.154,1.9,4.8,.396,.342,2.8,4.1,.689,1.9,2.7,4.6,0.7,0.9,0.8,0.9,2.4,7.7
163,157,Quinten Post,PF,24,GSW,12,2,12.2,1.3,4.0,.333,0.8,2.7,.313,0.5,1.3,.375,.438,0.3,0.3,.750,0.5,1.8,2.3,1.0,0.3,0.3,0.5,1.7,3.8
164,158,Norman Powell,SG,31,LAC,7,7,34.0,6.0,12.7,.472,2.0,5.7,.350,4.0,7.0,.571,.551,2.0,2.6,.778,0.1,2.3,2.4,2.4,1.1,0.3,1.7,2.1,16.0
165,159,Taurean Prince,SF,30,MIL,5,2,12.2,0.4,2.0,.200,0.4,1.8,.222,0.0,0.2,.000,.300,0.0,0.0,,0.0,1.0,1.0,1.6,0.4,0.2,1.0,0.6,1.2
166,160,Payton Pritchard,PG,27,BOS,11,0,27.5,4.1,9.0,.455,2.5,6.1,.403,1.6,2.9,.563,.591,1.3,1.5,.824,0.8,1.5,2.3,1.5,0.5,0.0,0.8,1.7,11.9
167,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
168,161,Neemias Queta,C,25,BOS,4,0,3.3,1.3,1.5,.833,0.0,0.0,,1.3,1.5,.833,.833,0.0,0.0,,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.5,2.5
169,162,Julius Randle,PF,30,MIN,15,15,35.5,7.7,15.3,.502,2.0,5.2,.385,5.7,10.1,.563,.568,4.4,5.0,.880,1.8,4.1,5.9,4.9,0.8,0.1,3.3,3.0,21.7
170,163,Austin Reaves,SG,26,LAL,5,5,39.2,6.0,14.6,.411,3.0,9.4,.319,3.0,5.2,.577,.514,1.2,1.4,.857,0.8,4.6,5.4,3.6,0.2,0.6,2.8,3.6,16.2
171,164,Paul Reed,C,25,DET,5,0,10.6,1.0,1.6,.625,0.0,0.0,,1.0,1.6,.625,.625,0.8,1.2,.667,1.4,1.6,3.0,0.2,1.0,0.6,1.0,1.6,2.8
172,165,Naz Reid,C,25,MIN,15,0,25.0,3.7,7.3,.509,1.7,4.2,.397,2.1,3.1,.660,.623,1.3,1.7,.760,1.1,3.7,4.7,1.7,0.7,0.9,1.9,2.9,10.4
173,166,Duncan Robinson,SF,30,MIA,4,0,14.8,1.3,3.5,.357,1.0,3.0,.333,0.3,0.5,.500,.500,0.8,1.0,.750,0.0,1.0,1.0,0.3,0.0,0.0,1.5,1.5,4.3
174,167,Mitchell Robinson,C,26,NYK,18,4,20.6,1.7,2.8,.608,0.0,0.0,,1.7,2.8,.608,.608,1.2,3.1,.393,3.7,3.3,7.1,0.4,0.9,0.8,0.7,2.1,4.7
175,168,Ryan Rollins,PG,22,MIL,3,1,10.0,1.3,4.3,.308,0.7,2.3,.286,0.7,2.0,.333,.385,0.0,0.0,,0.3,0.3,0.7,1.3,0.3,0.0,0.0,1.3,3.3
176,169,Gui Santos,PF,22,GSW,10,0,7.2,0.9,1.7,.529,0.4,1.0,.400,0.5,0.7,.714,.647,0.4,0.6,.667,0.3,0.9,1.2,0.8,0.3,0.1,0.6,1.0,2.6
177,170,Baylor Scheierman,SG,24,BOS,4,0,5.5,0.8,2.5,.300,0.5,1.3,.400,0.3,1.3,.200,.400,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.5,2.0
