,league,season,rank,player,team,position,salary
313,nhl,2013,,Ron Hainsey,CAR,D,"$2,000,000"
314,nhl,2013,,Jaromir Jagr,NJD,RW,"$2,000,000"
315,nhl,2013,,Marcus Johansson,WAS,C,"$2,000,000"
316,nhl,2013,,Cory Sarich,COL,D,"$2,000,000"
317,nhl,2013,,Teemu Selanne,ANA,RW,"$2,000,000"
318,nhl,2013,,Craig Smith,NSH,C,"$2,000,000"
319,nhl,2013,,Raffi Torres,SJS,LW,"$2,000,000"
320,nhl,2013,,Tomas Vokoun,PIT,G,"$2,000,000"
321,nhl,2013,,Patrick Wiercioch,OTT,D,"$2,000,000"
322,nhl,2013,,Colin Wilson,NSH,C,"$2,000,000"
323,nhl,2013,324,John Erskine,WAS,D,"$1,962,500"
324,nhl,2013,325,Josh Harding,MIN,G,"$1,900,000"
325,nhl,2013,,Chris Neil,OTT,RW,"$1,900,000"
326,nhl,2013,327,Zack Smith,OTT,C,"$1,887,500"
327,nhl,2013,328,Adam Burish,SJS,RW,"$1,850,000"
328,nhl,2013,,Braden Holtby,WAS,G,"$1,850,000"
329,nhl,2013,,Travis Moen,MTL,LW,"$1,850,000"
330,nhl,2013,331,Justin Abdelkader,DET,LW,"$1,800,000"
331,nhl,2013,,Brian Elliott,STL,G,"$1,800,000"
332,nhl,2013,,Vernon Fiddler,DAL,C,"$1,800,000"
333,nhl,2013,,Jarome Iginla,BOS,RW,"$1,800,000"
334,nhl,2013,,Anders Lindback,TBL,G,"$1,800,000"
335,nhl,2013,,Jamie McBain,BUF,D,"$1,800,000"
336,nhl,2013,,James Reimer,TOR,G,"$1,800,000"
337,nhl,2013,,Maxime Talbot,COL,C,"$1,800,000"
338,nhl,2013,,Daniel Winnik,ANA,C,"$1,800,000"
339,nhl,2013,340,Jason Chimera,WAS,LW,"$1,750,000"
340,nhl,2013,,Dan Cleary,DET,RW,"$1,750,000"
341,nhl,2013,,Jamie McGinn,COL,LW,"$1,750,000"
342,nhl,2013,,Jeff Petry,EDM,D,"$1,750,000"
343,nhl,2013,344,Brian Boyle,NYR,C,"$1,700,000"
344,nhl,2013,,Chris Butler,CGY,D,"$1,700,000"
345,nhl,2013,,Nikolai Khabibulin,CHI,G,"$1,700,000"
346,nhl,2013,,Anton Stralman,NYR,D,"$1,700,000"
347,nhl,2013,,Mark Stuart,WPG,D,"$1,700,000"
348,nhl,2013,349,Mike Weber,BUF,D,"$1,666,667"
349,nhl,2013,350,Ray Emery,PHI,G,"$1,650,000"
350,nhl,2013,351,Derek Dorsett,NYR,RW,"$1,633,333"
351,nhl,2013,352,Gregory Campbell,BOS,C,"$1,600,000"
352,nhl,2013,,Jim Slater,WPG,C,"$1,600,000"
353,nhl,2013,,Nate Thompson,TBL,C,"$1,600,000"
354,nhl,2013,,Jiri Tlusty,CAR,LW,"$1,600,000"
355,nhl,2013,356,Adam McQuaid,BOS,D,"$1,566,667"
356,nhl,2013,357,Mikael Backlund,CGY,C,"$1,500,000"
357,nhl,2013,,Keith Ballard,MIN,D,"$1,500,000"
358,nhl,2013,,Francis Bouillon,MTL,D,"$1,500,000"
359,nhl,2013,,Matt Carkner,NYI,D,"$1,500,000"
360,nhl,2013,,Jason Demers,SJS,D,"$1,500,000"
361,nhl,2013,,Eric Fehr,WAS,C,"$1,500,000"
362,nhl,2013,,Jean-Sebastien Giguere,COL,G,"$1,500,000"
363,nhl,2013,,Jonas Gustavsson,DET,G,"$1,500,000"
364,nhl,2013,,Jay Harrison,CAR,D,"$1,500,000"
365,nhl,2013,,Steve Mason,PHI,G,"$1,500,000"
366,nhl,2013,,Jay McClement,TOR,C,"$1,500,000"
367,nhl,2013,,Brenden Morrow,STL,LW,"$1,500,000"
368,nhl,2013,,Douglas Murray,MTL,D,"$1,500,000"
369,nhl,2013,,Mike Rupp,MIN,C,"$1,500,000"
370,nhl,2013,,Kris Russell,CGY,D,"$1,500,000"
371,nhl,2013,,Nick Spaling,NSH,LW,"$1,500,000"
372,nhl,2013,,Chris Tanev,VAN,D,"$1,500,000"
373,nhl,2013,374,Kyle Palmieri,ANA,RW,"$1,466,667"
374,nhl,2013,375,Ryan Jones,EDM,RW,"$1,433,590"
375,nhl,2013,376,Aaron Rome,DAL,D,"$1,428,846"
376,nhl,2013,377,Peter Budaj,MTL,G,"$1,400,000"
377,nhl,2013,378,Zemgus Girgensons,BUF,C,"$1,369,167"
378,nhl,2013,379,Matt Beleskey,ANA,LW,"$1,350,000"
379,nhl,2013,,Jannik Hansen,VAN,RW,"$1,350,000"
380,nhl,2013,,Drew Miller,DET,LW,"$1,350,000"
381,nhl,2013,382,Lars Eller,MTL,C,"$1,325,000"
382,nhl,2013,,Marcus Kruger,CHI,C,"$1,325,000"
383,nhl,2013,,Trevor Lewis,LAK,C,"$1,325,000"
384,nhl,2013,385,Mark Fayne,NJD,D,"$1,300,000"
385,nhl,2013,,Daniel Paille,BOS,LW,"$1,300,000"
386,nhl,2013,,Benoit Pouliot,NYR,LW,"$1,300,000"
387,nhl,2013,,Vladimir Sobotka,STL,LW,"$1,300,000"
388,nhl,2013,389,Brendan Smith,DET,D,"$1,262,500"
389,nhl,2013,390,Justin Braun,SJS,D,"$1,250,000"
390,nhl,2013,,Sheldon Brookbank,CHI,D,"$1,250,000"
391,nhl,2013,,Erik Condra,OTT,LW,"$1,250,000"
392,nhl,2013,,Jhonas Enroth,BUF,G,"$1,250,000"
393,nhl,2013,,T.J. Galiardi,CGY,LW,"$1,250,000"
394,nhl,2013,,Mark Letestu,CBJ,C,"$1,250,000"
395,nhl,2013,396,Kevin Klein,NYR,D,"$1,219,487"
396,nhl,2013,397,Magnus Paajarvi-Svensson,STL,LW,"$1,200,000"
397,nhl,2013,398,David Schlemko,PHX,D,"$1,187,500"
398,nhl,2013,399,Thomas Vanek,MTL,LW,"$1,179,487"
399,nhl,2013,400,Ryan Miller,STL,G,"$1,153,846"
400,nhl,2013,,Martin St. Louis,NYR,RW,"$1,153,846"
