,Player,Age,Team,Season,G,3PA_p100,3P%,eFG%,FT%,MP,PER,TS%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Salary,PercentofCap,season_number,ScoringVolume,PlaymakingVolume,ReboundingVolume,StealsVolume,BlocksVolume,TurnoverVolume,ImpactMinutes,EfficientScoring,OffensiveCreation,Is_Guard,Is_Wing,Is_Big,ShootingGravity,accolades,RookieScale,Expected_Percentage,Expected_Salary,SurplusValuePct,PTS,TRB,AST
100,Jake LaRavia,24.0,LAL,2025,82.0,5.8,0.321,0.533,0.763,25.1,11.9,0.571,14.4,1.7,2.1,0.089,-1.6,0.5,-1.2,0.4,6000000.0,0.0388,4,1312.0,278.8,631.4,205.0,73.8,172.2,-30.1,9.1,22.6,0,0,1,-0.2,0,1,0.0346,5354606.5,-0.4175,8.2,4.0,1.8
101,CJ McCollum,34.0,2TM,2025,76.0,10.7,0.375,0.538,0.772,29.8,15.9,0.566,25.7,1.9,1.0,0.063,1.4,-1.7,-0.3,1.0,30666666.0,0.1983,13,2257.2,463.6,402.8,98.8,53.2,212.8,-8.9,16.8,42.2,1,0,0,0.3,0,0,0.1938,29974875.8,-0.4472,18.7,3.3,3.9
102,Kenrich Williams,31.0,OKC,2025,56.0,7.3,0.388,0.557,0.635,15.3,14.2,0.569,18.3,0.8,1.5,0.13,-0.1,0.3,0.2,0.5,7163000.0,0.0463,8,1148.0,252.0,593.6,100.8,16.8,134.4,3.1,11.7,29.8,0,0,1,0.3,0,0,0.0415,6416799.8,-0.4807,6.5,3.3,1.4
103,Gradey Dick,22.0,TOR,2025,76.0,8.5,0.301,0.492,0.875,14.0,10.7,0.538,18.7,0.2,1.3,0.064,-3.2,-0.4,-3.6,-0.4,4990560.0,0.0323,3,1580.8,174.8,509.2,159.6,22.8,152.0,-50.4,11.2,25.0,1,0,0,-0.4,0,1,0.0271,4194778.2,-0.5175,6.0,1.9,0.7
104,Isaiah Jackson,24.0,2TM,2025,55.0,0.2,0.0,0.637,0.648,16.5,17.3,0.653,16.2,1.4,1.2,0.139,-1.9,0.8,-1.2,0.2,7600000.0,0.0491,5,1078.0,154.0,847.0,104.5,143.0,170.5,-19.8,12.8,25.1,0,0,1,-0.1,0,0,0.0436,6749134.7,-0.5458,6.7,5.3,0.9
105,Cody Williams,21.0,UTA,2025,67.0,3.8,0.214,0.495,0.706,24.3,9.6,0.524,16.0,0.0,0.1,0.004,-3.6,-1.9,-5.5,-1.5,5742480.0,0.0371,2,1132.3,261.3,381.9,100.5,46.9,140.7,-133.6,8.9,24.2,1,0,0,-0.5,0,1,0.0315,4870636.3,-0.5605,8.8,3.0,2.0
106,Jonas Valančiūnas,33.0,DEN,2025,65.0,1.5,0.308,0.592,0.772,13.4,22.0,0.63,26.1,1.8,1.1,0.162,0.5,-0.5,0.0,0.4,10395000.0,0.0672,14,2067.0,286.0,1196.0,52.0,136.5,266.5,0.0,20.0,40.5,0,0,1,-0.1,0,0,0.0612,9464495.5,-0.5999,8.7,5.1,1.2
107,Jarace Walker,22.0,IND,2025,76.0,8.7,0.374,0.51,0.749,25.7,11.5,0.543,20.7,-1.0,1.5,0.013,-1.8,-0.7,-2.4,-0.2,6665520.0,0.0431,3,1634.0,357.2,722.0,114.0,45.6,258.4,-61.7,11.7,31.1,0,0,1,0.2,0,1,0.0361,5578352.3,-0.7028,11.6,5.1,2.5
108,Bilal Coulibaly,21.0,WAS,2025,56.0,6.6,0.319,0.485,0.746,26.2,13.5,0.531,19.9,0.2,0.8,0.031,-1.7,-0.4,-2.1,-0.1,7275600.0,0.047,3,1187.2,263.2,436.8,134.4,95.2,145.6,-55.0,11.3,30.4,1,0,0,-0.2,0,1,0.0392,6056501.6,-0.7837,11.7,4.3,2.6
109,Carter Bryant,20.0,SAS,2025,71.0,9.1,0.335,0.506,0.714,11.5,9.9,0.526,16.3,0.1,1.2,0.076,-3.1,0.2,-3.0,-0.2,4900320.0,0.0317,1,1242.5,198.8,745.5,63.9,99.4,134.9,-34.5,9.2,23.0,0,0,1,-0.1,0,1,0.0237,3659260.3,-0.8038,4.2,2.5,0.7
