,league,season,rank,player,team,position,salary
198,nba,2012,,Josh McRoberts,CHA,PF,"$3,135,000"
199,nba,2012,200,Gerald Henderson,CHA,SG,"$3,101,327"
200,nba,2012,201,Ray Allen,MIA,SG,"$3,090,000"
201,nba,2012,,Vince Carter,DAL,SG,"$3,090,000"
202,nba,2012,,Jason Kidd,NYK,PG,"$3,090,000"
203,nba,2012,,Mirza Teletovic,BKN,PF,"$3,090,000"
204,nba,2012,205,Damian Lillard,POR,PG,"$3,065,040"
205,nba,2012,206,Tyler Hansbrough,IND,PF,"$3,055,259"
206,nba,2012,207,Alexey Shved,MIN,PG,"$3,017,943"
207,nba,2012,208,Joel Freeland,POR,PF,"$3,013,512"
208,nba,2012,209,Darrell Arthur,MEM,PF,"$3,006,217"
209,nba,2012,210,LaVoy Allen,PHI,PF,"$3,000,000"
210,nba,2012,,Jerryd Bayless,MEM,PG,"$3,000,000"
211,nba,2012,,Carlos Delfino,HOU,SG,"$3,000,000"
212,nba,2012,,Kosta Koufos,DEN,C,"$3,000,000"
213,nba,2012,,Travis Outlaw,SAC,SF,"$3,000,000"
214,nba,2012,215,Austin Daye,MEM,PF,"$2,958,077"
215,nba,2012,216,Al-Farouq Aminu,NOH,SF,"$2,947,800"
216,nba,2012,217,Nick Collison,OKC,PF,"$2,929,332"
217,nba,2012,218,Bismack Biyombo,CHA,C,"$2,923,920"
218,nba,2012,219,Dahntay Jones,ATL,SF,"$2,900,000"
219,nba,2012,220,Kwame Brown,PHI,C,"$2,819,044"
220,nba,2012,221,James Johnson,SAC,PF,"$2,812,006"
221,nba,2012,222,J.R. Smith,NYK,SG,"$2,806,452"
222,nba,2012,223,Harrison Barnes,GSW,SF,"$2,798,040"
223,nba,2012,224,Gordon Hayward,UTA,SF,"$2,709,720"
