,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Season
88,89,Justin Harper,PF,22,ORL,1,0,5.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-2012
89,90,Josh Harrellson,PF,22,NYK,4,0,6.3,1.0,2.3,.444,0.0,0.3,.000,1.0,2.0,.500,.444,0.5,0.5,1.000,0.8,1.3,2.0,0.0,0.0,0.0,0.5,1.5,2.5,2011-2012
90,91,Al Harrington,PF,31,DEN,7,0,23.3,3.4,10.7,.320,1.4,5.0,.286,2.0,5.7,.350,.387,1.4,2.1,.667,1.0,3.3,4.3,0.9,0.4,0.1,0.4,1.9,9.7,2011-2012
91,92,Devin Harris,PG,28,UTA,4,4,30.0,4.8,12.0,.396,1.0,3.8,.267,3.8,8.3,.455,.438,2.5,3.5,.714,0.0,1.5,1.5,3.8,0.8,0.5,3.0,3.5,13.0,2011-2012
92,93,Terrel Harris,SG,24,MIA,4,0,2.5,0.3,0.5,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.8,1.0,.750,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,1.3,2011-2012
93,94,Udonis Haslem,PF,31,MIA,22,11,20.5,1.8,4.0,.455,0.0,0.0,0,1.8,4.0,.455,.455,1.2,1.6,.743,1.7,4.7,6.4,0.6,0.2,0.3,0.9,2.7,4.8,2011-2012
94,95,Spencer Hawes,C,23,PHI,13,12,25.5,3.8,8.3,.463,0.2,0.4,.400,3.7,7.9,.466,.472,1.5,2.0,.731,1.4,5.2,6.6,1.6,0.3,0.8,1.7,2.5,9.3,2011-2012
95,96,Gordon Hayward,SF,21,UTA,4,4,30.8,1.5,8.3,.182,0.3,3.0,.083,1.3,5.3,.238,.197,4.0,4.0,1.000,0.5,2.3,2.8,3.0,0.8,0.0,0.8,1.0,7.3,2011-2012
96,97,Lazar Hayward,SF,25,OKC,5,0,3.6,0.4,0.6,.667,0.0,0.0,0,0.4,0.6,.667,.667,0.0,0.0,0,0.0,0.8,0.8,0.0,0.0,0.0,0.2,0.4,0.8,2011-2012
97,98,Brendan Haywood,C,32,DAL,4,4,15.3,1.0,3.5,.286,0.0,0.0,0,1.0,3.5,.286,.286,1.3,2.0,.625,1.8,1.5,3.3,0.3,0.3,0.5,0.5,2.0,3.3,2011-2012
98,99,Roy Hibbert,C,25,IND,11,11,30.9,4.7,9.5,.500,0.1,0.1,1.000,4.6,9.4,.495,.505,2.2,3.3,.667,4.1,7.1,11.2,1.1,0.4,3.1,2.0,3.5,11.7,2011-2012
99,100,George Hill,PG,25,IND,11,11,31.5,4.3,9.5,.448,1.4,3.6,.375,2.9,5.9,.492,.519,3.5,4.2,.848,0.8,1.5,2.3,2.9,1.2,0.3,2.0,1.9,13.5,2011-2012
100,101,Jordan Hill,C,24,LAL,12,0,18.1,1.9,4.4,.434,0.0,0.0,0,1.9,4.4,.434,.434,0.9,1.3,.688,3.3,3.1,6.3,0.1,0.3,0.7,0.6,2.7,4.8,2011-2012
101,102,Kirk Hinrich,SG,31,ATL,6,4,23.5,2.2,5.0,.433,1.0,2.7,.375,1.2,2.3,.500,.533,0.3,0.3,1.000,0.7,1.3,2.0,1.0,0.7,0.0,0.3,1.5,5.7,2011-2012
102,103,Jrue Holiday,PG,21,PHI,13,13,38.0,5.7,13.8,.413,1.5,3.8,.408,4.2,10.0,.415,.469,2.9,3.4,.864,1.3,3.4,4.7,5.2,1.5,0.6,2.0,1.8,15.8,2011-2012
